mijeurope_code;mijeurope_ean;name;stock
MIJC7150;8594197822887;PLATTER RECT. MATT BLACK W' TEXT. LINES ON HALF 30X20CM;0
MIKAPB0103;;Salt and Pepper Shaker Set Navy Blue Mikasa 2pcs;0
111;;Transport & Packaging;0
MIJC9621;;Bílý kulatý talíř MODERN 26 x 24 cm;0
MIJC2439S;;Velký mělký talíř Black Pearl 29 cm;0
MIJC9624;;Sushi plate Turquoise 50x15 cm;0
X002;;BOX PLASTIC 50x35x30;185
X000;;Pallet;9
X001;;Pallet - Half;0
X003;;MAKRO STICKER;0
X004;;Dobírka CZ;0
X005;;Dobírka SK;0
X006;;Dobírka Domů CZ;0
X007;;Doprava Domů CZ;0
X008;;Doprava Domů SK;0
MIJX009;8594197827905;Printed Catalog - ENG with Contacts;14
MIJ6342B;8594197826700;B-Quality Large Round Plate Modern black 25 x 24 cm;0
X0010;;Inspiration Brochure MIJ - ENG;0
X0011;;Printed Leaflet MIJ - ENG;0
RVBOX654277;3198246542778;6x REVOL Adelie gourmet plate 17cm, Cast iron style;0
RVBOX654275;3198246542754;4x REVOL Adelie gourmet plate 23cm, Cast iron style;0
RVBOX654273;3198246542730;4x REVOL Adelie gourmet plate 27cm, Cast iron style;0
RVBOX654286;3198246542860;6x REVOL Adelie flat plate 22cm, Cast iron style;0
RVBOX654282;3198246542822;6x REVOL Adelie flat plate 24cm, Cast iron style;0
RVBOX654290;3198246542907;4x REVOL Adelie flat plate 28cm, Cast iron style;0
RVBOX655283;3198246552838;6x REVOL Adelie bowl 22cl, Cast iron style;0
RVBOX655288;3198246552883;6x REVOL Adelie bowl 40cl, Cast iron style;0
RVBOX654266;3198246542662;6x REVOL Adelie bowl 55cl, Cast iron style;0
RVBOX655085;3198246550858;4x REVOL Adelie salad bowl 1,5l, Cast iron style;0
RVBOX654269;3198246542693;6x REVOL Adelie cup 20cl, Cast iron style;0
RVBOX654271;3198246542716;6x REVOL Adelie  cup 8cl, Cast iron style;0
RVBOX648288;3198246482883;6x REVOL Arborescence deep coupe plate 24cm, Ivory;0
RVBOX648289;3198246482890;6x REVOL Arborescence deep coupe plate 24cm, Liquorice;0
RVBOX653187;3198246531871;4x REVOL Arborescence deep coupe plate 27cm, Ivory;1
RVBOX653188;3198246531888;4x REVOL Arborescence deep coupe plate 27cm, Liquorice;0
RVBOX648353;3198246483538;6x REVOL Arborescence dessert plate 21,5cm, Ivory;0
RVBOX648474;3198246484740;6x REVOL Arborescence dessert plate 21,5cm, Liquorice;0
RVBOX648342;3198246483422;6x REVOL Arborescence dinner plate 26,5m, Ivory;0
RVBOX648344;3198246483446;6x REVOL Arborescence dinner plate 26,5m, Liquorice;0
RVBOX648279;3198246482791;6x REVOL Arborescence dinner plate 28cm, Ivory;0
RVBOX648280;3198246482807;6x REVOL Arborescence dinner plate 28cm, Liquorice;0
RVBOX648324;3198246483248;2x REVOL Arborescence dinner plate 31cm, Ivory;0
RVBOX648325;3198246483255;2x REVOL Arborescence dinner plate 31cm, Liquorice;0
RVBOX648364;3198246483644;6x REVOL Arborescence bread plate 16cm, Liquorice;0
RVBOX648297;3198246482975;6x REVOL Arborescence bowl 19cm, Ivory;0
RVBOX648298;3198246482982;6x REVOL Arborescence bowl 19cm, Liquorice;0
RVBOX650448;3198246504486;2x REVOL Arborescence serving bowl 33,5cm, Ivory;1
RVBOX650449;3198246504493;2x REVOL Arborescence serving bowl 33,5cm, Liquorice;0
RVBOX648398;3198246483989;6x REVOL Arborescence mini bowl 7cm, Ivory;1
RVBOX648399;3198246483996;6x REVOL Arborescence mini bowl 7cm, Liquorice;0
RVBOX614831;3198246148314;6x REVOL Belle Cuisine oval dish 14,5cm, White;0
RVBOX642093;3198246420939;6x REVOL Belle Cuisine oval dish 14,5cm, Cast iron style;0
RVBOX654010;3198246540101;REVOL Caractere giftboxed cup 22cl, x2, White Cumulus;0
RV654013;3198246540132;REVOL Caractere giftboxed cup 22cl, x2, Cardamom;0
RV654009;3198246540095;REVOL Caractere giftboxed cup 22cl, x2, Nutmeg;0
RV654014;3198246540149;REVOL Caractere giftboxed cup 22cl, x2, Tonka;0
RVBOX652993;3198246529939;REVOL Caractere giftboxed cup 8cl, x2, White Cumulus;0
RV652996;3198246529960;REVOL Caractere giftboxed cup 8cl, x2, Cardamom;0
RV652990;3198246529908;REVOL Caractere giftboxed cup 8cl, x2, Nutmeg;0
RV652997;3198246529977;REVOL Caractere giftboxed cup 8cl, x2, Tonka;0
RVBOX653000;3198246530003;REVOL Caractere giftboxed cup 8cl, x6, White Cumulus;0
RVBOX653857;3198246538573;4x REVOL Caractere cup 22 cl, White Cumulus;0
RVBOX653861;3198246538610;4x REVOL Caractere cup 22cl, Cardamom;0
RVBOX653856;3198246538566;4x REVOL Caractere cup 22 cl, Nutmeg;0
RVBOX653862;3198246538627;4x REVOL Caractere cup 22cl, Tonka;0
RVBOX652687;3198246526877;4x REVOL Caractere cup 8cl, White Cumulus;0
RVBOX652691;3198246526914;4x REVOL Caractere cup 8cl, Cardamom;0
RVBOX652686;3198246526860;4x REVOL Caractere cup 8cl, Nutmeg;0
RVBOX652692;3198246526921;4x REVOL Caractere cup 8cl, Tonka;0
RVBOX649557;3198246495579;4x REVOL Equinoxe deep coupe plate 27cm, Cast iron style;0
RVBOX649558;3198246495586;4x REVOL Equinoxe deep coupe plate 27cm, Pepper;0
RVBOX650430;3198246504301;6x REVOL Equinoxe dinner plate 24cm, Cast iron style;0
RVBOX650420;3198246504202;6x REVOL Equinoxe dinner plate 26cm, Cast iron style;0
RVBOX650421;3198246504219;6x REVOL Equinoxe dinner plate 26cm, Pepper;0
RVBOX655638;3198246556386;6x REVOL Equinoxe bread plate 16cm, White Cotton;1
RVBOX649492;3198246494923;6x REVOL Equinoxe bread plate 16cm, Cast iron style;0
RVBOX651433;3198246514331;4x REVOL Equinoxe bowl 10,5cm 25cl, White Cumulus;0
RVBOX651444;3198246514447;6x REVOL Equinoxe bowl 6,3cm 5cl, White Cumulus;1
RVBOX649605;3198246496057;6x REVOL Equinoxe bowl 6,3cm 5cl, Cast iron style;0
RVBOX651731;3198246517318;6x REVOL Equinoxe bowl 8,2cm 8cl, White Cumulus;1
RVBOX651729;3198246517295;6x REVOL Equinoxe bowl 8,2cm 8cl, Pepper;1
RVBOX649588;3198246495883;6x REVOL Equinoxe bowl 15cm, Cast iron style;0
RVBOX649578;3198246495784;6x REVOL Equinoxe bowl 19cm, Cast iron style;0
RVBOX652885;3198246528857;2x REVOL Equinoxe serving bowl 33.5cm, Pepper;1
RVBOX651443;3198246514430;6x REVOL Equinoxe bowl 14cm, White Cumulus;2
RVBOX649507;3198246495074;6x REVOL Equinoxe bowl 14cm, Pepper;0
RVBOX655636;3198246556362;6x REVOL Equinoxe dessert plate 21,5cm, White Cotton;1
RVBOX651436;3198246514362;6x REVOL Equinoxe dessert plate 21,5cm, White Cumulus;0
RVBOX649494;3198246494947;6x REVOL Equinoxe dessert plate 21,5cm, Pepper;0
RVBOX652887;3198246528871;2x REVOL Equinoxe serving bowl 33.5cm, White Cumulus;1
RVBOX651437;3198246514379;6x REVOL Equinoxe dinner plate 24cm, White Cumulus;0
RVBOX650431;3198246504318;6x REVOL Equinoxe dinner plate 24cm, Pepper;0
RVBOX655633;3198246556331;6x REVOL Equinoxe dinner plate 26cm, White Cotton;1
RVBOX651438;3198246514386;6x REVOL Equinoxe dinner plate 26cm, White Cumulus;0
RVBOX655642;3198246556423;6x REVOL Equinoxe dinner plate 28cm, White Cotton;0
RVBOX655640;3198246556409;2x REVOL Equinoxe dinner plate 31cm, White Cotton;3
RVBOX649502;3198246495029;2x REVOL Equinoxe dinner plate 31cm, Cast iron style;0
RVBOX651435;3198246514355;6x REVOL Equinoxe bread plate 16cm, White Cumulus;0
RVBOX649594;3198246495944;6x REVOL Equinoxe rice bowl 12cm 30cl, Pepper;0
RVBOX649491;3198246494916;6x REVOL Equinoxe bread plate 16cm, Pepper;0
RVBOX651445;3198246514454;6x REVOL Equinoxe rice bowl 12cm 30cl, White Cumulus;0
RVBOX649508;3198246495081;6x REVOL Equinoxe bowl 14cm, Cast iron style;0
RVBOX651441;3198246514416;6x REVOL Equinoxe bowl 19cm, White Cumulus;0
RVBOX649577;3198246495777;6x REVOL Equinoxe bowl 19cm, Pepper;0
RVBOX651442;3198246514423;6x REVOL Equinoxe deep coupe plate 24cm, White Cumulus;0
RVBOX649606;3198246496064;6x REVOL Equinoxe bowl 6,3cm 5cl, Pepper;0
RVBOX655811;3198246558113;6x REVOL Equinoxe deep coupe plate 24cm, White Cotton;0
RVBOX649505;3198246495050;6x REVOL Equinoxe deep coupe plate 24cm, Cast iron style;0
RVBOX649504;3198246495043;6x REVOL Equinoxe deep coupe plate 24cm, Pepper;1
RVBOX651430;3198246514300;4x REVOL Equinoxe deep coupe plate 27cm, White Cumulus;0
RVBOX651439;3198246514393;6x REVOL Equinoxe dinner plate 28cm, White Cumulus;0
RVBOX649499;3198246494992;6x REVOL Equinoxe dinner plate 28cm, Cast iron style;0
